TARGET,0.001000
0,0,7,3
100,2.6864e-06,9,3
200,7.06639e-05,11,3
300,0.000442271,13,3
400,0.000445637,13,3
500,0.000514625,13,3
600,0.000887904,13,3
700,0.00154658,12,6
800,0.003905,10,12
900,0.0080668,8,18
1000,0.000534682,6,24
1100,0.000926959,6,24
1200,0.00172588,4,30
1300,0.00134164,2,36
1400,0.00134175,1,42
1500,0.00134175,1,48
1600,0.00134175,1,54
1700,0.00134175,1,60
1800,0.00134175,1,66
1900,0.00134175,1,72
2000,0.00134175,1,78
2100,0.00134175,1,84
2200,0.00134175,1,90
2300,0.00134175,1,96
2400,0.00134175,1,102
2500,0.00134175,1,108
2600,0.00134175,1,114
2700,0.00134175,1,120
2800,0.00134175,1,126
2900,0.00134175,1,132
TEST PARAMETERS
Constituent Filter bits, 6250
Number of hash functions,5
Initial Refresh Rate,7
Batch Operations,100

