TARGET,0.001000
0,0,7,3
100,1.37281e-09,7,3
200,7.89505e-08,7,3
300,8.08687e-07,7,3
400,0.000335591,7,3
500,0.000336849,7,3
600,0.000341882,7,3
700,0.00241408,7,3
800,4.59684e-06,6,6
900,1.1637e-05,6,6
1000,2.86384e-05,6,6
1100,1.44178e-05,6,6
1200,1.96924e-05,6,6
1300,3.15208e-05,6,6
1400,2.55151e-05,6,6
1500,2.90563e-05,6,6
1600,3.73393e-05,6,6
1700,3.34498e-05,5,12
1800,3.61176e-05,5,12
1900,4.31578e-05,5,12
2000,3.92683e-05,5,12
2100,4.19361e-05,5,12
2200,4.13464e-05,5,12
2300,4.25243e-05,5,12
2400,4.64057e-05,5,12
2500,4.41058e-05,5,12
2600,4.61176e-05,5,12
2700,4.55279e-05,5,12
2800,4.67059e-05,5,12
2900,5.05873e-05,5,12
TEST PARAMETERS
Constituent Filter bits, 6250
Number of hash functions,3
Initial Refresh Rate,7
Batch Operations,100

