0,0,7,3
100,1.37281e-09,10,3
200,7.89505e-08,11,3
300,8.08687e-07,13,3
400,0.000335591,14,3
500,0.000336849,14,3
600,0.000341882,14,3
700,0.000356212,14,3
800,0.000388832,14,3
900,0.000452593,14,3
1000,0.000564283,14,3
1100,5.23382e-05,13,6
1200,7.68417e-05,15,4
1300,0.000117801,17,4
1400,0.000187941,19,4
1500,0.000304442,21,4
1600,0.000488715,21,4
1700,0.00076592,21,4
1800,0.000350224,20,8
1900,0.000401782,20,8
2000,0.000474976,20,8
2100,0.000582681,20,8
2200,0.000742175,20,8
2300,0.000974915,20,8
2400,0.00130607,18,32
2500,0.00176386,16,128
2600,0.00237881,14,512
2700,0.0031829,12,2048
2800,0.00157069,10,8192
2900,0.00170093,8,32768
TEST PARAMETERS
Constituent Filter bits, 6250
Number of hash functions,3
Initial Refresh Rate,7
Batch Operations,100

