TARGET,0.001000
0,0,7,3
100,1.37281e-09,9,3
200,7.89505e-08,11,3
300,8.08687e-07,13,3
400,0.000335591,14,3
500,0.000336849,14,3
600,0.000341882,14,3
700,0.000356212,14,3
800,0.000388832,14,3
900,0.000452593,14,3
1000,0.000564283,14,3
1100,5.23382e-05,13,6
1200,7.68417e-05,15,4
1300,0.000117801,17,4
1400,0.000187941,17,4
1500,0.000304442,17,4
1600,0.000488715,17,4
1700,0.00076592,17,4
1800,0.000350224,16,8
1900,0.000401782,16,8
2000,0.000474976,16,8
2100,0.000582681,16,8
2200,0.000742175,16,8
2300,0.000974915,16,8
2400,0.00130607,14,32
TEST PARAMETERS
Constituent Filter bits, 6250
Number of hash functions,3
Initial Refresh Rate,7
Batch Operations,100
END
2500,0.00176386,12,128
2600,0.00107131,10,512
2700,0.00114386,8,2048
2800,0.00124327,6,8192
2900,0.00138451,4,32768

