0,0,7,3
100,1.37281e-09,9,3
200,7.89505e-08,11,3
300,8.08687e-07,13,3
400,0.000335591,15,3
500,0.000336849,17,3
600,0.000341882,19,3
700,0.000356212,21,3
800,0.000388832,23,3
900,0.000452593,25,3
1000,0.000564283,27,3
1100,5.23382e-05,26,6
1200,7.68417e-05,28,4
1300,0.000117801,30,4
1400,0.000187941,32,4
1500,0.000304442,34,4
1600,0.000488715,36,4
1700,0.00076592,38,4
1800,0.00116431,38,4
1900,0.00171447,36,16
2000,0.00244849,34,64
2100,0.00339911,32,256
2200,0.00459897,30,1024
2300,0.00607984,28,4096
2400,0.00182815,26,16384
2500,0.00209022,24,65536
2600,0.00241257,22,262144
2700,0.00282185,21,524288
2800,0.00334895,20,1048576
2900,0.00402794,19,2097152
TEST PARAMETERS
Constituent Filter bits, 6250
Number of hash functions,3
Initial Refresh Rate,7
Batch Operations,100

