TARGET,0.001000
0,0,9,3
24,2.6864e-06,12,3
49,1.85833e-05,12,3
74,3.69864e-05,12,3
99,0.000214228,12,3
124,2.28667e-06,11,9
149,2.48677e-05,11,9
174,0.000210145,11,9
199,2.74205e-05,11,9
224,5.91559e-05,11,9
249,0.000262047,11,9
274,9.22401e-05,11,9
299,0.000123973,11,9
324,0.000132282,11,9
349,0.000138814,11,9
374,0.000216249,11,9
399,0.000155234,11,9
424,0.000177903,11,9
448,0.000364265,11,9
474,0.00018073,9,81
TEST PARAMETERS
Constituent Filter bits, 6250
Number of hash functions,5
Initial Refresh Rate,7
Batch Operations,50

