TARGET,0.001000
0,0,7,3
50,9.26862e-08,9,3
100,2.6864e-06,11,3
150,1.84893e-05,13,3
200,1.85833e-05,15,3
250,2.11793e-05,17,3
300,3.69864e-05,19,3
350,8.9168e-05,21,3
400,0.000214228,23,3
450,0.000460799,23,3
500,0.000887251,23,3
550,6.16307e-06,23,5
600,3.10836e-05,25,4
650,5.22176e-05,27,4
700,0.00011148,29,4
750,0.00024562,29,4
800,0.000503493,29,4
850,0.000943655,29,4
900,0.00161296,27,16
950,0.00261734,25,64
TEST PARAMETERS
Constituent Filter bits, 6250
Number of hash functions,5
Initial Refresh Rate,7
Batch Operations,50

